Dimension;Seed_word_adjusted;Seed_word_final;Source
Budget;forecasts;forecasts;IMA EMAC
Budget;resource allocation;resource_allocation;Qiu et al. (2023), Nixon & Burns (2012), Malmi & Brown (2008), IFAC IGPG
Budget;planning;planning;GMAP, IMA MACF, Abdel-Kader & Luther (2008), Malmi & Brown (2008), Bromwich & Scapens (2016)
Budget;business planning;business_planning;CGMA CF
Budget;budgeting;budgeting;GMAP, IMA MACF, Abdel-Kader & Luther (2008), Malmi & Brown (2008), Bromwich & Scapens (2016)
Budget;planning process;planning_process;GMAP, IMA MACF, Abdel-Kader & Luther (2008), Malmi & Brown (2008), Bromwich & Scapens (2016)
Budget;budgeting process;budgeting_process;GMAP, IMA MACF, Abdel-Kader & Luther (2008), Malmi & Brown (2008), Bromwich & Scapens (2016)
Budget;financial budget;financial_budget;Qiu et al. (2023)
Budget;comprehensive budget;comprehensive_budget;Qiu et al. (2023)
Budget;rolling budget;rolling_budget;Qiu et al. (2023), IMA MACF, IMA EMAC, Otley (2016)
Budget;forecasting process;forecasting_process;CGMA CF
Budget;flexible budgeting;flexible_budgeting;Qiu et al. (2023), IMA MACF, IMA EMAC, Abdel-Kader & Luther (2008)
Budget;activity based budgeting;activity_based_budgeting;Qiu et al. (2023), Abdel-Kader & Luther (2008)
Budget;flexible budget;flexible_budget;IMA MACF, IMA EMAC, Abdel-Kader & Luther (2008)
Budget;activity based budget;activity_based_budget;Abdel-Kader & Luther (2008)
Budget;zero base budgeting;zero_base_budgeting;Coyte et al. (2022)
Budget;forecast;forecast;IMA EMAC
Budget;extrapolation;extrapolation;IMA MACF
Budget;planning of activities;planning_of_activities;GMAP
Budget;planning of activity;planning_of_activity;GMAP
Budget;formal budget;formal_budget;GMAP
Budget;cash forecasting;cash_forecasting;GMAP
Budget;budgetary control;budgetary_control;GMAP, Chenhall & Moers (2015), Otley (2016), Bromwich & Scapens (2016), Van der Stede (2001)
Budget;budgetary control system;budgetary_control_system;GMAP, Chenhall & Moers (2015), Otley (2016), Bromwich & Scapens (2016)
Budget;sales forecasting;sales_forecasting;CGMA PQS
Budget;master budget;master_budget;CGMA PQS, IMA EMAC
Budget;what if analysis;what_if_analysis;CGMA PQS, COSO ERM (Risk), IMA SRM
Budget;stress testing budgets;stress_testing_budgets;CGMA PQS
Budget;feedback control;feedback_control;CGMA PQS
Budget;feedforward control;feedforward_control;CGMA PQS
Budget;forecasting technique;forecasting_technique;CGMA CF
Budget;forecasting method;forecasting_method;CGMA CF
Budget;planning technique;planning_technique;CGMA CF
Budget;planning method;planning_method;CGMA CF
Budget;modelling technique;modelling_technique;CGMA CF
Budget;modelling method;modelling_method;CGMA CF
Budget;budgeting technique;budgeting_technique;CGMA CF
Budget;budgeting method;budgeting_method;CGMA CF
Budget;budget preparation;budget_preparation;CGMA CF
Budget;forecasting processes;forecasting_processes;CGMA CF
Budget;moving averages;moving_averages;IMA MACF
Budget;short term cash flow;short_term_cash_flow;IMA MACF
Budget;short term inventory requirments;short_term_inventory_requirments;IMA MACF
Budget;short term inventory requirment;short_term_inventory_requirment;IMA MACF
Budget;historical expenses;historical_expenses;IMA MACF
Budget;historical expense;historical_expense;IMA MACF
Budget;financial relationship analysis;financial_relationship_analysis;IMA MACF
Budget;operational relationship analysis;operational_relationship_analysis;IMA MACF
Budget;projected income statement;projected_income_statement;IMA MACF
Budget;projected balance sheet;projected_balance_sheet;IMA MACF
Budget;projected cash flow statement;projected_cash_flow_statement;IMA MACF
Budget;capacity constraint;capacity_constraint;IMA MACF
Budget;budgeting methodology;budgeting_methodology;IMA MACF
Budget;exponential smoothing;exponential_smoothing;IMA MACF
Budget;continuous budget;continuous_budget;IMA MACF
Budget;collaborative forecast;collaborative_forecast;IMA MACF
Budget;correlation analysis;correlation_analysis;IMA EMAC
Budget;costs and benefits;costs_and_benefits;IMA EMAC
Budget;prediction accuracy;prediction_accuracy;IMA EMAC
Budget;critical uncertainties;critical_uncertainties;IMA EMAC
Budget;critical uncertainty;critical_uncertainty;IMA EMAC
Budget;short term forecast;short_term_forecast;IMA EMAC
Budget;continous budgeting;continous_budgeting;Chenhall & Moers (2015)
Budget;learning curve technique;learning_curve_technique;Abdel-Kader & Luther (2008)
Budget;beyond budgeting;beyond_budgeting;Ferreira & Otley (2009), Otley (2016), Bromwich & Scapens (2016)
Budget;rolling forecast;rolling_forecast;Malmi & Brown (2008)
Budget;rolling forecasting;rolling_forecasting;Malmi & Brown (2008)
Budget;contingency fund;contingency_fund;Libby & Lindsay (2010)
Budget;ongoing forecast;ongoing_forecast;Libby & Lindsay (2010)
Budget;participative budgeting;participative_budgeting;Libby & Lindsay (2010)
Budget;budgetary target;budgetary_target;Libby & Lindsay (2010)
Budget;budget for control;budget_for_control;Libby & Lindsay (2010)
Budget;budgetary reporting;budgetary_reporting;Libby & Lindsay (2010)
Budget;budgeting system;budgeting_system;Libby & Lindsay (2010)
Budget;budget variance;budget_variance;Libby & Lindsay (2010)
Budget;budget review;budget_review;Libby & Lindsay (2010)
Budget;budget revision;budget_revision;Libby & Lindsay (2010)
Budget;operational plan;operational_plan;IMA EMAC, Malmi & Brown (2008), IMA SMA RMF, Libby & Lindsay (2010)
Budget;justify expenses;justify_expenses;Coyte et al. (2022)
Budget;justify expense;justify_expense;Coyte et al. (2022)
Budget;justify expenditures;justify_expenditures;Coyte et al. (2022)
Budget;justify expenditure;justify_expenditure;Coyte et al. (2022)
Budget;budget optimization;budget_optimization;Luzon et al. (2022)
Budget;dynamic budget allocation ;dynamic_budget_allocation ;Luzon et al. (2022)
Budget;dynamic budgeting;dynamic_budgeting;Luzon et al. (2022)
Budget;adaptive performance management;adaptive_performance_management;O퀶rady et al. (2017)
Budget;zero based budgeting;zero_based_budgeting;Qiu et al. (2023), IMA MACF, Abdel-Kader & Luther (2008)
Budget;zbb;zbb;Coyte et al. (2022)
Budget;cash management;cash_management;GMAP
Budget;production planning;production_planning;GMAP
Budget;cash flow forecast;cash_flow_forecast;GMAP
Budget;historical revenue;historical_revenue;IMA MACF
Budget;capital requirements;capital_requirements;IMA MACF
Budget;capital requirement;capital_requirement;IMA MACF
Budget;capacity constraints;capacity_constraints;IMA MACF
Budget;statistical technique;statistical_technique;IMA MACF
Budget;financial plan;financial_plan;IMA MACF
Cost;cost structure;cost_structure;GMAP
Cost;cost report;cost_report;IMA MACF
Cost;cost management;cost_management;Qiu et al. (2023), IMA MACF, Chenhall & Moers (2015)
Cost;cost control;cost_control;Qiu et al. (2023), CGMA CF, IMA EMAC
Cost;cost allocation;cost_allocation;CGMA CF, IMA EMAC
Cost;variable cost;variable_cost;Qiu et al. (2023), IMA EMAC, Abdel-Kader & Luther (2008), IFAC IGPG
Cost;cost drivers;cost_drivers;GMAP, IMA EMAC
Cost;cost elements;cost_elements;CGMA PQS
Cost;marginal cost;marginal_cost;CGMA PQS, IMA EMAC
Cost;fixed costs;fixed_costs;IMA MACF, Abdel-Kader & Luther (2008), IFAC IGPG, IMA EMAC
Cost;fixed cost;fixed_cost;IMA MACF, Abdel-Kader & Luther (2008), IFAC IGPG, IMA EMAC
Cost;direct cost;direct_cost;IMA MACF, IMA EMAC
Cost;indirect costs;indirect_costs;IMA MACF, IMA EMAC
Cost;incremental costs;incremental_costs;IMA EMAC, Abdel-Kader & Luther (2008)
Cost;incremental cost;incremental_cost;IMA EMAC, Abdel-Kader & Luther (2008)
Cost;specific costs;specific_costs;IMA EMAC
Cost;allocation of costs;allocation_of_costs;IMA EMAC
Cost;discretionary costs;discretionary_costs;IMA EMAC
Cost;cost center;cost_center;IMA EMAC (abgeleitet von Responsibility center management)
Cost;activity costs;activity_costs;Kaplan & Cooper (1998)
Cost;cost accounting;cost_accounting;Qiu et al. (2023), IMA MACF
Cost;direct costs;direct_costs;IMA MACF, IMA EMAC
Cost;historical cost accounting;historical_cost_accounting;IMA EMAC
Cost;overhead costs;overhead_costs;IMA EMAC
Cost;target costing;target_costing;Qiu et al. (2023), CGMA CF, Cadez & Guilding (2008), Chenhall & Moers (2015), Malmi & Brown (2008), IMA SMA RMF, IMA EMAC
Cost;standard costing;standard_costing;Qiu et al. (2023), CGMA CF, IMA MACF, Bromwich & Scapens (2016), IMA EMAC
Cost;variable costing;variable_costing;Qiu et al. (2023), CGMA CF, IMA EMAC, Abdel-Kader & Luther (2008), IFAC IGPG
Cost;activity based cost management;activity_based_cost_management;Qiu et al. (2023), Chenhall & Moers (2015), Malmi & Brown (2008)
Cost;cost forecasting;cost_forecasting;Qiu et al. (2023)
Cost;cost planning;cost_planning;Qiu et al. (2023)
Cost;activity based costing;activity_based_costing;Qiu et al. (2023), IMA MACF, Chenhall & Moers (2015), Abdel-Kader & Luther (2008), Otley (2016), Bromwich & Scapens (2016), Malmi & Brown (2008), Cadez & Guilding (2008), IFAC IGPG, IMA EMAC
Cost;cost analysis;cost_analysis;Qiu et al. (2023)
Cost;cost evaluation;cost_evaluation;Qiu et al. (2023)
Cost;cost management technique;cost_management_technique; IMA MACF, Chenhall & Moers (2015)
Cost;cost accounting process;cost_accounting_process;IMA MACF
Cost;activity based costing approach;activity_based_costing_approach;IMA MACF, Chenhall & Moers (2015), Abdel-Kader & Luther (2008), Otley (2016), Bromwich & Scapens (2016), Malmi & Brown (2008), Cadez & Guilding (2008), IFAC IGPG, IMA EMAC
Cost;abc approach;abc_approach;IMA MACF, Chenhall & Moers (2015), Abdel-Kader & Luther (2008), Otley (2016), Bromwich & Scapens (2016), Malmi & Brown (2008), Cadez & Guilding (2008), IFAC IGPG, IMA EMAC
Cost;cost transformation;cost_transformation;GMAP
Cost;cost effective sourcing;cost_effective_sourcing;GMAP
Cost;cost target;cost_target;GMAP
Cost;cost driver;cost_driver;GMAP, IMA EMAC
Cost;costing technique;costing_technique;GMAP, CGMA CF
Cost;cost avoidance;cost_avoidance;GMAP
Cost;cost accumulation;cost_accumulation;CGMA PQS, Cadez & Guilding (2008)
Cost;cost element;cost_element;CGMA PQS
Cost;cost behaviour;cost_behaviour;CGMA PQS, IMA EMAC
Cost;marginal costing;marginal_costing;CGMA PQS, IMA EMAC
Cost;absorption costing;absorption_costing;CGMA PQS, IMA EMAC
Cost;usage variances;usage_variances;CGMA PQS
Cost;usage variance;usage_variance;CGMA PQS
Cost;efficiency variances;efficiency_variances;CGMA PQS
Cost;efficiency variance;efficiency_variance;CGMA PQS
Cost;product costing;product_costing;CGMA PQS
Cost;service costing;service_costing;CGMA PQS
Cost;costing system;costing_system;CGMA PQS, IMA EMAC
Cost;digital costing;digital_costing;CGMA PQS
Cost;life cycle costing;life_cycle_costing;CGMA PQS,  Cadez & Guilding (2008), Chenhall & Moers (2015)
Cost;costing methodology;costing_methodology;CGMA CF
Cost;strategic cost transformation;strategic_cost_transformation;CGMA CF
Cost;strategic cost management;strategic_cost_management;IMA MACF, Chenhall & Moers (2015),  Cadez & Guilding (2008)
Cost;inventory control tool;inventory_control_tool;IMA MACF
Cost;capacity planning;capacity_planning;IMA MACF
Cost;throughput costing;throughput_costing;IMA MACF, IMA EMAC
Cost;trace costs;trace_costs;IMA MACF
Cost;trace cost;trace_cost;IMA MACF
Cost;costing approach;costing_approach;IMA MACF
Cost;valur chain cost analysis;valur_chain_cost_analysis;IMA MACF
Cost;optimal sourcing;optimal_sourcing;IMA MACF
Cost;resource consumption accounting;resource_consumption_accounting;IMA MACF, IMA EMAC
Cost;managerial costing model;managerial_costing_model;IMA MACF, IMA EMAC
Cost;managerial costing method;managerial_costing_method;IMA MACF, IMA EMAC
Cost;cost reduction strategy;cost_reduction_strategy;IMA MACF
Cost;cost classification;cost_classification;IMA MACF
Cost;overhead allocation;overhead_allocation;IMA MACF, Bromwich & Scapens (2016)
Cost;costing applications;costing_applications;IMA MACF
Cost;costing application;costing_application;IMA MACF
Cost;lean accounting;lean_accounting;IMA MACF, Chenhall & Moers (2015)
